message_id,ticket_id,recipient,body,body_deterministic,polished,status,approved_by,sent_at,created_at,citations
MSG-TKT-0013,TKT-0013,Orion Pharma coordinator,"Update on your shipment (ref TKT-0013): the assigned vehicle experienced a breakdown (gearbox jam), assessed as medium severity. A replacement vehicle has been dispatched from our Ambala hub and the delivery plan has been adjusted accordingly. The replacement vehicle meets the 2020-or-later model-year requirement for your consignments. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0013): the assigned vehicle experienced a breakdown (gearbox jam), assessed as medium severity. A replacement vehicle has been dispatched from our Ambala hub and the delivery plan has been adjusted accordingly. The replacement vehicle meets the 2020-or-later model-year requirement for your consignments. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.854452,"[""work_orders#TKT-0013"", ""classifications#TKT-0013"", ""rules: [\""R-07\""]""]"
MSG-TKT-0014,TKT-0014,Orion Pharma coordinator,"Update on your shipment (ref TKT-0014): the assigned vehicle experienced a breakdown (turbo failure), assessed as low severity. A replacement vehicle has been dispatched from our Delhi hub and the delivery plan has been adjusted accordingly. The replacement vehicle meets the 2020-or-later model-year requirement for your consignments. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0014): the assigned vehicle experienced a breakdown (turbo failure), assessed as low severity. A replacement vehicle has been dispatched from our Delhi hub and the delivery plan has been adjusted accordingly. The replacement vehicle meets the 2020-or-later model-year requirement for your consignments. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.846173,"[""work_orders#TKT-0014"", ""classifications#TKT-0014"", ""rules: [\""R-07\""]""]"
MSG-TKT-0015,TKT-0015,Apex Chemicals coordinator,"Update on your shipment (ref TKT-0015): the assigned vehicle experienced a breakdown (clutch slipping), assessed as low severity. A replacement vehicle has been dispatched from our Chandigarh hub and the delivery plan has been adjusted accordingly. A different vehicle is being used for this dispatch, consistent with our post-incident rotation practice. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0015): the assigned vehicle experienced a breakdown (clutch slipping), assessed as low severity. A replacement vehicle has been dispatched from our Chandigarh hub and the delivery plan has been adjusted accordingly. A different vehicle is being used for this dispatch, consistent with our post-incident rotation practice. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.850087,"[""work_orders#TKT-0015"", ""classifications#TKT-0015"", ""rules: [\""R-06\""]""]"
MSG-TKT-0016,TKT-0016,Shakti Cement coordinator,"Update on your shipment (ref TKT-0016): the assigned vehicle experienced a breakdown (turbo failure), assessed as low severity. A replacement vehicle has been dispatched from our Delhi hub and the delivery plan has been adjusted accordingly. Delivery is being replanned to our internal 36-hour commitment, not the 48-hour contract figure (per standing agreement). We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0016): the assigned vehicle experienced a breakdown (turbo failure), assessed as low severity. A replacement vehicle has been dispatched from our Delhi hub and the delivery plan has been adjusted accordingly. Delivery is being replanned to our internal 36-hour commitment, not the 48-hour contract figure (per standing agreement). We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.855535,"[""work_orders#TKT-0016"", ""classifications#TKT-0016"", ""rules: [\""R-04\""]""]"
MSG-TKT-0017,TKT-0017,Orion Pharma coordinator,"Update on your shipment (ref TKT-0017): the assigned vehicle experienced a breakdown (radiator leak), assessed as medium severity. A replacement vehicle has been dispatched from our Kanpur hub and the delivery plan has been adjusted accordingly. The replacement vehicle meets the 2020-or-later model-year requirement for your consignments. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0017): the assigned vehicle experienced a breakdown (radiator leak), assessed as medium severity. A replacement vehicle has been dispatched from our Kanpur hub and the delivery plan has been adjusted accordingly. The replacement vehicle meets the 2020-or-later model-year requirement for your consignments. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.847181,"[""work_orders#TKT-0017"", ""classifications#TKT-0017"", ""rules: [\""R-07\""]""]"
MSG-TKT-0019,TKT-0019,Internal coordinator,"Update on your shipment (ref TKT-0019): the assigned vehicle experienced a breakdown (tyre burst), assessed as medium severity. A replacement vehicle has been dispatched from our Chandigarh hub and the delivery plan has been adjusted accordingly. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0019): the assigned vehicle experienced a breakdown (tyre burst), assessed as medium severity. A replacement vehicle has been dispatched from our Chandigarh hub and the delivery plan has been adjusted accordingly. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.853537,"[""work_orders#TKT-0019"", ""classifications#TKT-0019"", ""rules: []""]"
MSG-TKT-0020,TKT-0020,Shakti Cement coordinator,"Update on your shipment (ref TKT-0020): the assigned vehicle experienced a breakdown (clutch slipping), assessed as medium severity. A replacement vehicle has been dispatched from our Gurgaon hub and the delivery plan has been adjusted accordingly. Delivery is being replanned to our internal 36-hour commitment, not the 48-hour contract figure (per standing agreement). We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0020): the assigned vehicle experienced a breakdown (clutch slipping), assessed as medium severity. A replacement vehicle has been dispatched from our Gurgaon hub and the delivery plan has been adjusted accordingly. Delivery is being replanned to our internal 36-hour commitment, not the 48-hour contract figure (per standing agreement). We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.846173,"[""work_orders#TKT-0020"", ""classifications#TKT-0020"", ""rules: [\""R-04\""]""]"
MSG-TKT-0021,TKT-0021,Apex Chemicals coordinator,"Update on your shipment (ref TKT-0021): the assigned vehicle experienced a breakdown (electrical failure), assessed as medium severity. A replacement vehicle has been dispatched from our Kanpur hub and the delivery plan has been adjusted accordingly. A different vehicle is being used for this dispatch, consistent with our post-incident rotation practice. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0021): the assigned vehicle experienced a breakdown (electrical failure), assessed as medium severity. A replacement vehicle has been dispatched from our Kanpur hub and the delivery plan has been adjusted accordingly. A different vehicle is being used for this dispatch, consistent with our post-incident rotation practice. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.857543,"[""work_orders#TKT-0021"", ""classifications#TKT-0021"", ""rules: [\""R-06\""]""]"
MSG-TKT-0022,TKT-0022,Vertex Retail coordinator,"Update on your shipment (ref TKT-0022): the assigned vehicle experienced a breakdown (engine overheating), assessed as medium severity. A replacement vehicle has been dispatched from our Jaipur hub and the delivery plan has been adjusted accordingly. If the revised arrival falls after 18:00 at the Ludhiana gate, this will be scheduled as a next-morning delivery at 08:00, not marked as a failed delivery, per our standing arrangement. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0022): the assigned vehicle experienced a breakdown (engine overheating), assessed as medium severity. A replacement vehicle has been dispatched from our Jaipur hub and the delivery plan has been adjusted accordingly. If the revised arrival falls after 18:00 at the Ludhiana gate, this will be scheduled as a next-morning delivery at 08:00, not marked as a failed delivery, per our standing arrangement. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.850087,"[""work_orders#TKT-0022"", ""classifications#TKT-0022"", ""rules: [\""R-05\""]""]"
MSG-TKT-0023,TKT-0023,Shakti Cement coordinator,"Update on your shipment (ref TKT-0023): the assigned vehicle experienced a breakdown (clutch slipping), assessed as medium severity. A replacement vehicle has been dispatched from our Rudrapur hub and the delivery plan has been adjusted accordingly. Delivery is being replanned to our internal 36-hour commitment, not the 48-hour contract figure (per standing agreement). We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0023): the assigned vehicle experienced a breakdown (clutch slipping), assessed as medium severity. A replacement vehicle has been dispatched from our Rudrapur hub and the delivery plan has been adjusted accordingly. Delivery is being replanned to our internal 36-hour commitment, not the 48-hour contract figure (per standing agreement). We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.860552,"[""work_orders#TKT-0023"", ""classifications#TKT-0023"", ""rules: [\""R-04\""]""]"
MSG-TKT-0024,TKT-0024,Internal coordinator,"Update on your shipment (ref TKT-0024): the assigned vehicle experienced a breakdown (brake failure warning), assessed as medium severity. A replacement vehicle has been dispatched from our Ludhiana hub and the delivery plan has been adjusted accordingly. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0024): the assigned vehicle experienced a breakdown (brake failure warning), assessed as medium severity. A replacement vehicle has been dispatched from our Ludhiana hub and the delivery plan has been adjusted accordingly. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.851434,"[""work_orders#TKT-0024"", ""classifications#TKT-0024"", ""rules: []""]"
MSG-TKT-0025,TKT-0025,Internal coordinator,"Update on your shipment (ref TKT-0025): the assigned vehicle experienced a breakdown (suspension damage), assessed as low severity. A replacement vehicle has been dispatched from our Gurgaon hub and the delivery plan has been adjusted accordingly. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0025): the assigned vehicle experienced a breakdown (suspension damage), assessed as low severity. A replacement vehicle has been dispatched from our Gurgaon hub and the delivery plan has been adjusted accordingly. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.858535,"[""work_orders#TKT-0025"", ""classifications#TKT-0025"", ""rules: [\""R-08\""]""]"
MSG-TKT-0026,TKT-0026,Orion Pharma coordinator,"Update on your shipment (ref TKT-0026): the assigned vehicle experienced a breakdown (clutch slipping), assessed as low severity. A replacement vehicle has been dispatched from our Chandigarh hub and the delivery plan has been adjusted accordingly. The replacement vehicle meets the 2020-or-later model-year requirement for your consignments. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0026): the assigned vehicle experienced a breakdown (clutch slipping), assessed as low severity. A replacement vehicle has been dispatched from our Chandigarh hub and the delivery plan has been adjusted accordingly. The replacement vehicle meets the 2020-or-later model-year requirement for your consignments. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.853537,"[""work_orders#TKT-0026"", ""classifications#TKT-0026"", ""rules: [\""R-07\""]""]"
MSG-TKT-0027,TKT-0027,Shakti Cement coordinator,"Update on your shipment (ref TKT-0027): the assigned vehicle experienced a breakdown (fuel line leak), assessed as high severity. A replacement vehicle has been dispatched from our Lucknow hub and the delivery plan has been adjusted accordingly. Delivery is being replanned to our internal 36-hour commitment, not the 48-hour contract figure (per standing agreement). We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0027): the assigned vehicle experienced a breakdown (fuel line leak), assessed as high severity. A replacement vehicle has been dispatched from our Lucknow hub and the delivery plan has been adjusted accordingly. Delivery is being replanned to our internal 36-hour commitment, not the 48-hour contract figure (per standing agreement). We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.844135,"[""work_orders#TKT-0027"", ""classifications#TKT-0027"", ""rules: [\""R-04\"", \""R-08\""]""]"
MSG-TKT-0028,TKT-0028,Orion Pharma coordinator,"Update on your shipment (ref TKT-0028): the assigned vehicle experienced a breakdown (engine overheating), assessed as high severity. A replacement vehicle has been dispatched from our Kanpur hub and the delivery plan has been adjusted accordingly. The replacement vehicle meets the 2020-or-later model-year requirement for your consignments. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0028): the assigned vehicle experienced a breakdown (engine overheating), assessed as high severity. A replacement vehicle has been dispatched from our Kanpur hub and the delivery plan has been adjusted accordingly. The replacement vehicle meets the 2020-or-later model-year requirement for your consignments. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.849106,"[""work_orders#TKT-0028"", ""classifications#TKT-0028"", ""rules: [\""R-07\""]""]"
MSG-TKT-0029,TKT-0029,Apex Chemicals coordinator,"Update on your shipment (ref TKT-0029): the assigned vehicle experienced a breakdown (radiator leak), assessed as high severity. A replacement vehicle has been dispatched from our Lucknow hub and the delivery plan has been adjusted accordingly. A different vehicle is being used for this dispatch, consistent with our post-incident rotation practice. We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0029): the assigned vehicle experienced a breakdown (radiator leak), assessed as high severity. A replacement vehicle has been dispatched from our Lucknow hub and the delivery plan has been adjusted accordingly. A different vehicle is being used for this dispatch, consistent with our post-incident rotation practice. We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.848195,"[""work_orders#TKT-0029"", ""classifications#TKT-0029"", ""rules: [\""R-06\""]""]"
MSG-TKT-0030,TKT-0030,Shakti Cement coordinator,"Update on your shipment (ref TKT-0030): the assigned vehicle experienced a breakdown (gearbox jam), assessed as low severity. A replacement vehicle has been dispatched from our Rudrapur hub and the delivery plan has been adjusted accordingly. Delivery is being replanned to our internal 36-hour commitment, not the 48-hour contract figure (per standing agreement). We will confirm the revised delivery window shortly.","Update on your shipment (ref TKT-0030): the assigned vehicle experienced a breakdown (gearbox jam), assessed as low severity. A replacement vehicle has been dispatched from our Rudrapur hub and the delivery plan has been adjusted accordingly. Delivery is being replanned to our internal 36-hour commitment, not the 48-hour contract figure (per standing agreement). We will confirm the revised delivery window shortly.",0,PENDING,,,2026-08-30T08:42:20.859544,"[""work_orders#TKT-0030"", ""classifications#TKT-0030"", ""rules: [\""R-04\"", \""R-08\""]""]"
